labels,X,Y,Z
rpa,0.077,-0.01,-0.035
nasion,-0.0,0.098,-0.015
lpa,-0.077,-0.01,-0.035
1RD,0.072,0.04,-0.045
2RD,0.08,-0.001,-0.042
3RD,0.077,-0.046,-0.049
4RD,0.054,-0.09,-0.041
1RC,0.064,0.064,-0.014
2RC,0.082,0.025,-0.012
3RC,0.089,-0.02,-0.006
4RC,0.078,-0.061,-0.005
5RC,0.055,-0.09,-0.003
1RB,0.054,0.077,0.018
2RB,0.078,0.044,0.022
3RB,0.087,0.001,0.03
4RB,0.082,-0.045,0.031
5RB,0.059,-0.078,0.033
1RA,0.066,0.033,0.058
2RA,0.068,-0.012,0.07
3RA,0.061,-0.054,0.067
1R,0.03,0.091,-0.002
2R,0.033,0.08,0.046
3R,0.034,0.052,0.074
4R,0.034,0.018,0.089
5R,0.038,-0.021,0.095
6R,0.038,-0.057,0.086
7R,0.035,-0.079,0.064
8R,0.031,-0.099,0.03
9R,0.028,-0.109,0.001
10R,0.024,-0.111,-0.031
11R,0.024,-0.1,-0.07
1Z,-0.0,0.093,0.032
2Z,-0.0,0.072,0.068
3Z,-0.0,0.039,0.09
4Z,-0.0,0.0,0.102
5Z,-0.0,-0.035,0.09
6Z,-0.0,-0.072,0.084
7Z,-0.0,-0.094,0.052
8Z,-0.0,-0.111,0.021
9Z,-0.0,-0.117,-0.014
1L,-0.03,0.091,-0.002
2L,-0.033,0.08,0.046
3L,-0.034,0.052,0.074
4L,-0.034,0.018,0.089
5L,-0.038,-0.021,0.095
6L,-0.038,-0.057,0.086
7L,-0.035,-0.079,0.064
8L,-0.031,-0.099,0.03
9L,-0.028,-0.109,0.001
10L,-0.024,-0.111,-0.031
11L,-0.024,-0.1,-0.07
1LA,-0.066,0.033,0.058
2LA,-0.068,-0.012,0.07
3LA,-0.061,-0.054,0.067
1LB,-0.054,0.077,0.018
2LB,-0.078,0.044,0.022
3LB,-0.087,0.001,0.03
4LB,-0.082,-0.045,0.031
5LB,-0.059,-0.078,0.033
1LC,-0.064,0.064,-0.014
2LC,-0.082,0.025,-0.012
3LC,-0.089,-0.02,-0.006
4LC,-0.078,-0.061,-0.005
5LC,-0.055,-0.09,-0.003
1LD,-0.072,0.04,-0.045
2LD,-0.08,-0.001,-0.042
3LD,-0.077,-0.046,-0.049
4LD,-0.054,-0.09,-0.041
